Strain,Stress (MPa)
0.00026654,44.41714874
0.00026692,44.53226374
0.0002673,44.64737874
0.00026768,44.76249375
0.000268061,44.87760875
0.000268441,44.99272375
0.000268821,45.10783876
0.000269201,45.22295376
0.000269581,45.33806876
0.000269962,45.45318377
0.000270342,45.56829877
0.000270722,45.68341377
0.000271102,45.79852878
0.000271483,45.91364378
0.000271863,46.02875878
0.000272243,46.14387379
0.000272623,46.25898879
0.000273004,46.37410379
0.000273384,46.4892188
0.000273764,46.6043338
0.000274524,46.73379028
0.000275285,46.86324677
0.000276045,46.99270325
0.000276806,47.12215973
0.000277566,47.25161622
0.000278327,47.3810727
0.000279087,47.51052918
0.000279848,47.63998566
0.000280608,47.76944215
0.000281369,47.89889863
0.000282129,48.02835511
0.00028289,48.1578116
0.00028365,48.28726808
0.000284411,48.41672456
0.000285171,48.54618105
0.000285931,48.67563753
0.000286692,48.80509401
0.000287452,48.93455049
0.000288213,49.06400698
0.000288973,49.19346346
0.000289734,49.32291994
0.000290494,49.45237643
0.000291255,49.58183291
0.000292015,49.71128939
0.000292776,49.84074588
0.000293536,49.97020236
0.000294297,50.09965884
0.000295057,50.22911532
0.000295818,50.35857181
0.000296578,50.48802829
0.000297338,50.60308856
0.000298099,50.71814882
0.000298859,50.83320909
0.00029962,50.94826935
0.00030038,51.06332962
0.000301141,51.17838988
0.000301901,51.29345015
0.000302662,51.40851041
0.000303422,51.52357068
0.000304183,51.63863094
0.000304943,51.75369121
0.000305704,51.86875147
0.000306464,51.98381174
0.000307225,52.098872
0.000307985,52.21393227
0.000308745,52.32899253
0.000309506,52.4440528
0.000310266,52.55911306
0.000311027,52.67417333
0.000311787,52.78923359
0.000312548,52.90429386
0.000313308,53.01935412
0.000314069,53.13441439
0.000314829,53.24947465
0.00031559,53.36453492
0.00031635,53.47959518
0.000317111,53.59465545
0.000317871,53.70971571
0.000318632,53.82477598
0.000319392,53.93983624
0.000319772,54.04055503
0.000320152,54.14127381
0.000320533,54.2419926
0.000320913,54.34271138
0.000321293,54.44343017
0.000321673,54.54414895
0.000322053,54.64486774
0.000322434,54.74558653
0.000322814,54.84630531
0.000323194,54.9470241
0.000323574,55.04774288
0.000323954,55.14846167
0.000324335,55.24918045
0.000324715,55.34989924
